Name (EIA ID),Status,County,Fuel,MW,Local_reliability_area,Age,Capacity_Factor,Run_hours/start,Heat_rate_MMBtu/MWh,CO2_tons/MWh,Nox_lbs/MWh,MWh_high_ozone_days,Pop.,percent_non-white,percent_low-income,CEW
Indigo Generation (-55541),Operating,Riverside,Natural gas,135,LA Basin,18,4.00%,4.5,0.61,0.2,,23%,"1,799",73%,25%,32
Inland Empire Energy Center (-55853),Operating; retirement proposed,Riverside,Natural gas,405,LA Basin,10,9.30%,201,7,0.42,0.04,75%,"31,561",47%,18%,62
King City Energy Center (55811),Operating,Monterey,Natural gas,47,NA,17,1.70%,NA,11.3,NA,NA,NA,"13,313",89%,27%,52
Lake 1 (7987),Operating,Los Angelos,Natural gas,61,NA,17,2.70%,12.2,10.4,0.62,0.2,61%,"156,883",41%,13%,76*
Lambie Energy Center (55626),Operating,Solano,Natural gas,48,Greater Bay Area,17,3.10%,4.4,11.3,0.67,0.2,8%,166,58%,6%,74
Larkspur Energy (-55542),Operating,San Diego,Natural gas,90,San Diego,18,6.10%,5,10,0.59,0.2,17%,"7,916",72%,4%,56
Lodi (7451),Operating,San Joaquin,Natural gas,25,Stockton,34,1.50%,NA,16.1,NA,NA,NA,"8,644",68%,16%,65
Lodi CC (NCPA STIG) (7449),Operating,San Joaquin,Natural gas,50,Sierra,23,2.00%,7.3,8.1,0.48,0.1,67%,"8,644",68%,16%,65
Long Beach Generation (341),Operating,Los Angelos,Natural gas,260,LA Basin,42,1.20%,5.9,16.7,0.99,0.5,43%,"130,535",87%,32%,99*15
Los Esteros Critical Energy Facility (-55748),Operating,Santa Clara,Natural gas,309,Greater Bay Area,17,9.70%,14.6,7.9,0.47,0.06,6%,"98,882",82%,9%,82*
Malaga Peaking Plant (56239),Operating,Fresno,Natural gas,98,Greater Fresno,14,3.10%,4.6,10.2,0.61,0.2,60%,"44,557",89%,36%,99*
Mariposa Energy -57483,Operating,Alameda,Natural gas,200,Greater Bay Area,7,6.80%,5.5,10.2,0.6,0.13,6%,"3,821",73%,10%,41
Marsh Landing Generating Center (-57267),Operating,Contra Costa,Natural gas,828,Greater,6,2.20%,10.6,11.2,0.66,0.08,5%,"51,781",56%,14%,74
McClellan (535),Operating,Sacramento,Natural gas,74,NA,34,1.10%,NA,13,NA,NA,NA,"102,627",46%,29%,90*
McClure (151),Operating,Stanislaus,Natural gas,112,NA,39,0.30%,NA,17.3,NA,NA,NA,"89,819",66%,19%,94*
McGrath Peaker (-56471),Operating,Ventura,Natural gas,49,Creek/Ventura,7,8.10%,4.7,9.7,0.58,0.1,12%,"33,795",59%,10%,89*
MID Ripon (56135),Operating,San JOaquin,Natural gas,100,NA,13,7.10%,30.4,10.5,0.62,0.09,46%,"28,511",43%,10%,57
Midway-Starwood Power (56639),Operating,Fresno,Natural gas,120,NA,10,5.10%,3.8,11.1,0.66,0.2,33%,91,95%,25%,95*
